BOARD,MISSING DIR,BAD DIR NAME,NO TEMPLATE,EMPTY DIR
alchitry-cu, , ,X, 
alhambra-ii, , , , 
arice1,X, , , 
blackice, , ,X, 
blackice-ii,X, , , 
blackice-mx,X, , , 
butterstick-r10-2g-85k,X, , , 
butterstick-r10-2g-85k-ft2232h,X, , , 
butterstick-r10-2g-85k-ft232h,X, , , 
colorlight-5a-75b-v61,X, , , 
colorlight-5a-75b-v7,X, , , 
colorlight-5a-75b-v8, , ,X, 
colorlight-5a-75e-v6,X, , , 
colorlight-5a-75e-v71-ft2232h, , ,X, 
colorlight-5a-75e-v71-ft232h,X, , , 
colorlight-5a-75e-v71-usb-blaster,X, , , 
colorlight-i5-v7-0-ft2232h,X, , , 
colorlight-i5-v7-0-ft232h,X, , , 
colorlight-i5-v7-0-usb-blaster,X, , , 
colorlight-i9-v7-2-ft2232h,X, , , 
colorlight-i9-v7-2-ft232h,X, , , 
colorlight-i9-v7-2-usb-blaster,X, , , 
cynthion-r1-4, , ,X, 
ecp5-evaluation-board,X, , , 
ecp5-mini-12,X, , , 
ecp5-mini-25,X, , , 
edu-ciaa-fpga, , , , 
fleafpga-ohm-ft2232h,X, , , 
fleafpga-ohm-ft232h,X, , , 
fleafpga-ohm-usb-blaster,X, , , 
fomu, , ,X, 
fpga101,X, , , 
go-board, , , , 
ice40-hx1k-evb, , ,X, 
ice40-hx8k, , ,X, 
ice40-hx8k-evb, , ,X, 
ice40-ul1k-breakout,X, , , 
ice40-up5k, , ,X, 
iceblink40-hx1k,X, , , 
icebreaker, , ,X, 
icebreaker-bitsy0,X, , , 
icebreaker-bitsy1,X, , , 
icefun,X, , , 
icestick, , , , 
icesugar-1-5, , ,X, 
icesugar-nano,X, , , 
icesugar-pro-ft2232h,X, , , 
icesugar-pro-ft232h,X, , , 
icesugar-pro-usb-blaster,X, , , 
icewerx, , ,X, 
icezum, , , , 
kefir, , , , 
mimas-ecp5-mini,X, , , 
odt-icyblue-feather,X, , , 
ok-ice40pro,X, , , 
orangecrab-r02-25f,X, , , 
orangecrab-r02-85f,X, , , 
pi-sicle,X, , , 
pico-ice,X, , , 
sipeed-tang-nano,X, , , 
sipeed-tang-nano-1k,X, , , 
sipeed-tang-nano-20k,X, , , 
sipeed-tang-nano-4k, , ,X, 
sipeed-tang-nano-9k, , ,X, 
thetamachines-eth4k,X, , , 
tinyfpga-b2, , , , 
tinyfpga-bx, , , , 
tinyfpga-ex-rev1,X, , , 
tinyfpga-ex-rev2,X, , , 
ulx3s-12f, , ,X, 
ulx3s-25f,X, , , 
ulx3s-45f, , ,X, 
ulx3s-85f, , ,X, 
upduino,X, , , 
upduino2,X, , , 
upduino21,X, , , 
upduino3,X, , , 
upduino31, , ,X, 
versa,X, , , 
