BOARD,EXAMPLE,BAD DIR NAME,BOARD MISMATCH,NO INFO,NO APIO INI,BAD APIO INI,BUILD FAILS,LINT FAILS,NO TESTBENCH,TEST FAILS,CLEAN FAILS,INFO TOO LONG,INFO TOO SHORT,MULTIPLE INFO LINES,CONTAINS DIRS,HAS DUMPFILE,HAS VCD OUTPUT
alchitry-cu,blinky, , , , , , , , , , , , , , , , 
alhambra-ii,blinky, , , , , , , ,X, , , , , , , , 
alhambra-ii,ledon, , , , , , , , , , , , , , , , 
alhambra-ii,template, , , , , , , ,X, , , , , , , , 
blackice,blink, , , , , , , ,X, , , , , , , , 
blackice,blinky, , , , , , , ,X, , , , , , , , 
cat-board,blinky, , , , , , , ,X, , , , , , , , 
colorlight-5a-75b-v8,blinky, , , , , , , ,X, , , , , , , , 
colorlight-5a-75b-v8,ledon, , , , , , , , , , , , , , , , 
colorlight-5a-75e-v71-ft2232h,blinky, , , , , , ,X,X, , , , , , , , 
colorlight-5a-75e-v71-ft2232h,ledon, , , , , , ,X,X, , , , , , , , 
cynthion-r1-4,blinky, , , , , , , ,X, , , , , , , , 
edu-ciaa-fpga,blinky, , , , , , , ,X, , , , , , , , 
edu-ciaa-fpga,led-green, , , , , , , ,X, , , , , , , , 
edu-ciaa-fpga,template, , , , , , , ,X, , , , , , , , 
fomu,blink, , , , , , , ,X, , , , , , , , 
fomu,blinky, , , , , , , ,X, , , , , , , , 
go-board,blinky, , , , , , , ,X, , , , , , , , 
go-board,leds, , , , , , , , , , , , , , , , 
go-board,template, , , , , , , , , , , , , , , , 
ice40-hx1k-evb,leds, , , , , , , , , , , , , , , , 
ice40-hx8k,leds, , , , , , , , , , , , , , , , 
ice40-hx8k-evb,leds, , , , , , , , , , , , , , , , 
ice40-up5k,blinky, , , , , , , ,X, , , , , , , , 
ice40-up5k,led-green, , , , , , , ,X, , , , , , , , 
ice40-up5k,switches, , , , , , , ,X, , , , , , , , 
icebreaker,blink, , , , , , ,X,X, , , , , , , , 
icebreaker,blinky, , , , , , ,X,X, , , , , , , , 
icebreaker,buttons, , , , , , , ,X, , , , , , , , 
icebreaker,led-green, , , , , , ,X,X, , , , , , , , 
icestick,leds, , , , , , , , , , , , , , , , 
icestick,template, , , , , , , , , , , , , , , , 
icesugar-1-5,blinky, , , , , , , ,X, , , , , , , , 
icewerx,blinky, , , , , , , ,X, , , , , , , , 
icewerx,ledon, , , , , , , , , , , , , , , , 
icezum,frere-jacques, , , , , , ,X, , , , , , , , , 
icezum,leds, , , , , , , , , , , , , , , , 
icezum,marcha-imperial, , , , , , , , , , , , , , , , 
icezum,template, , , , , , , , , , , , , , , , 
icezum,wire, , , , , , , , , , , , , , , , 
icoboard,leds, , , , , , , , , , , , , , , , 
icoboard,template, , , , , , , , , , , , , , , , 
kefir,leds, , , , , , , , , , , , , , , , 
kefir,template, , , , , , , , , , , , , , , , 
tinyfpga-b2,blinky, , , , , , , ,X, , , , , , , , 
tinyfpga-b2,template, , , , , , ,X,X, , , , , , , , 
tinyfpga-bx,blink-sos, , , , , , , ,X, , , , , , , , 
tinyfpga-bx,blinky, , , , , , , ,X, , , , , , , , 
tinyfpga-bx,clock-divider, , , , , , , , , , , , , , , , 
tinyfpga-bx,template, , , , , , , ,X, , , , , , , , 
ulx3s-12f,blinky, , , , , , , ,X, , , , , , , , 
ulx3s-12f,ledon, , , , , , ,X, , , , , , , , , 
ulx3s-45f,blinky, , , , , , ,X,X, , , , , , , , 
ulx3s-85f,blinky, , , , , , ,X,X, , , , , , , , 
upduino31,blinky, , , , , , ,X,X, , , , , , , , 
upduino31,pll, , , , , , ,X,X, , , , , , , , 
upduino31,testbench, , , , , , , , , , , , , , , , 
