BOARD,EXAMPLE,NO TESTBENCH,CONTAINS DIRS
alhambra-ii,bcd-counter, ,X
alhambra-ii,bcd-counter-sv, ,X
alhambra-ii,blinky,X, 
alhambra-ii,multienv,X, 
alhambra-ii,template,X, 
blackice,blink,X, 
blackice,blinky,X, 
colorlight-5a-75b-v8,blinky,X, 
colorlight-5a-75e-v71-ft2232h,blinky,X, 
colorlight-5a-75e-v71-ft2232h,ledon,X, 
cynthion-r1-4,blinky,X, 
edu-ciaa-fpga,blinky,X, 
edu-ciaa-fpga,led-green,X, 
edu-ciaa-fpga,template,X, 
fomu,blink,X, 
fomu,blinky,X, 
go-board,blinky,X, 
ice40-up5k,blinky,X, 
ice40-up5k,led-green,X, 
ice40-up5k,switches,X, 
icebreaker,blinky,X, 
icebreaker,buttons,X, 
icebreaker,led-green,X, 
icesugar-1-5,blinky,X, 
icewerx,blinky,X, 
tinyfpga-b2,blinky,X, 
tinyfpga-b2,template,X, 
tinyfpga-bx,blink-sos,X, 
tinyfpga-bx,blinky,X, 
tinyfpga-bx,template,X, 
ulx3s-12f,blinky,X, 
ulx3s-45f,blinky,X, 
ulx3s-85f,blinky,X, 
upduino31,blinky,X, 
upduino31,pll,X, 
