BOARD,EXAMPLE,BAD DIR NAME,BOARD MISMATCH,NO INFO,NO APIO INI,BAD APIO INI,BUILD FAILS,LINT FAILS,NO TESTBENCH,TEST FAILS,CLEAN FAILS,INFO TOO LONG,INFO TOO SHORT,MULTIPLE INFO LINES,CONTAINS DIRS
alchitry-cu,Blinky,X,,,,,,X,X,,,,,,
alhambra-ii,Blinky,X,,,,,,,X,,,,,,
alhambra-ii,Template,X,,,,,,,X,,,,,,
alhambra-ii,ledon,,,,,,,,,,,,,,
blackice,Blinky,X,,,,,,,X,,,,,,
blackice,blink,,,,,,,,X,,,,,,
cat-board,blinky,,,,,,,,X,,,,,,
colorlight-5a-75b-v8,Blinky,X,,,,,,X,X,,,,,,
colorlight-5a-75b-v8,ledon,,,,,,,,,,,,,,
colorlight-5a-75e-v71-ft2232h,Blinky,X,,,,,,X,X,,,,,,
colorlight-5a-75e-v71-ft2232h,ledon,,,,,,,X,X,,,,,,
cynthion-r1-4,Blinky,X,,,,,,,X,,,,,,
edu-ciaa-fpga,Blinky,X,,,,,,,X,,,,,,
edu-ciaa-fpga,Template,X,,,,,,,X,,,,,,
edu-ciaa-fpga,led-green,,,,,,,,X,,,,,X,
fomu,Blink,X,,,,,,,X,,,,,,
fomu,Blinky,X,,,,,,,X,,,,,,
go-board,Blinky,X,,,,,,,X,,,,,,
go-board,leds,,,,,,,,,,,,,,
go-board,pcf,,,,X,,X,X,X,,X,,,,
go-board,template,,,,,,,,,,,,,,
ice40-hx1k-evb,leds,,,,,,,,,,,,,,
ice40-hx8k,leds,,,,,,,,,,,,,,
ice40-hx8k-evb,leds,,,,,,,,,,,,,,
ice40-up5k,blinky,,,,,,,,X,,,,,,
ice40-up5k,led-green,,,,,,,,X,,,,,,
ice40-up5k,switches,,,,,,,,X,,,,,,
icebreaker,Blinky,X,,,,,,X,X,,,,,,
icebreaker,blink,,,,,,,X,X,,,,,,
icebreaker,buttons,,,,,,,,X,,,,,,
icebreaker,led-green,,,,,,,X,X,,,,,,
icestick,leds,,,,,,,,,,,,,,
icestick,pcf,,,,X,,X,X,X,,X,,,,
icestick,template,,,,,,,,,,,,,,
icesugar-1-5,Blinky,X,,,,,,,X,,,,,,
icewerx,Blinky,X,,,,,,,X,,,,,,
icewerx,ledon,,,,,,,,,,,,,,
icezum,Marcha-Imperial,X,,,,,,,,,,,,,
icezum,frere-jacques,,,,,,,X,,,,,,,
icezum,leds,,,,,,,,,,,,,,
icezum,pcf,,,,X,,X,X,X,,X,,,,
icezum,template,,,,,,,,,,,,,,
icezum,wire,,,,,,,,,,,,,,
icoboard,leds,,,,,,,,,,,,,,
icoboard,pcf,,,,X,,X,X,X,,X,,,,
icoboard,template,,,,,,,,,,,,,,
kefir,leds,,,,,,,,,,,,,,
kefir,pcf,,,,X,,X,X,X,,X,,,,
kefir,template,,,,,,,,,,,,,,
tinyfpga-b2,blinky,,,,,,,,X,,,,,,
tinyfpga-b2,template,,,,,,,X,X,,,,,,
tinyfpga-bx,Blinky,X,,,,,,,X,,,,,X,
tinyfpga-bx,blink-sos,,,,,,,,X,,,,,,
tinyfpga-bx,clock-divider,,,,X,,X,X,X,,X,,,,X
tinyfpga-bx,template,,,,,,,,X,,,,,,
ulx3s-12f,Blinky,X,,,,,,,X,,,,,,
ulx3s-12f,ledon,,,,,,,X,,,,,,,
ulx3s-45f,Blinky,X,,,,,,X,X,,,,,,
ulx3s-85f,Blinky,X,,,,,,X,X,,,,,,
upduino31,blinky,,,,,,,X,X,,,,,,
upduino31,pll,,,,,,,X,X,,,,,,
upduino31,testbench,,,,,,,,,,,,,,
